Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,118.075,-29.5,0,top
C2,22uF,C_0805_2012Metric,113,-25.45,-90,top
C3,10uF,C_0805_2012Metric,113.575,-32,90,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.5,-19,90,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.5,-19,90,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.5,-19,90,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.5,-19,90,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.5,-19,90,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.5,-19,90,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.5,-19,90,top
L1,3.3uH,L_1008_2520Metric,118.075,-27,0,top
R1,56.2k,R_0603_1608Metric,121,-31,180,top
R2,10k,R_0603_1608Metric,121,-33,0,top
U1,AP62300,TSOT-23-6,117.075,-32,0,top
